user_input,retrieved_contexts,response,reference,faithfulness
?כמה יחידות דיור מתוכננות בתכנית,"['בהתאם לתקנות בחוק )מרפסת מקורה בין אם\nגזוזטרה ובין אם מרפסת התחומה בשלוש קירות(\n-לשטחים הציבוריים הבנויים בתא שטח 500A  - , יוצמדו חצרות ומרפסות בשטח כולל של כ680   מ""ר לטובת השימוש הציבורי, וכן יתווספו שטחי תפעול ושרות בתת קרקע בהיקף של כ15% מהשטחים\nהעיקריים העיליים המיועדים לשטחי הציבור הבנויים, שיהיו מתוך שטחי השרות התת קרקעיים למגורים המופיעים בטבלה 5\n -ניתן יהיה לנייד עד700   מ""ר )עיקרי +שרות( בשימוש מגורים מתא שטח500C  לתא שטח500A  ועד8  יחידות דיור זאת, ללא תוספת שטחי בניה מספר קומות  או יח""ד לסך התכנית, בתכסית מקסימלית\nשל 55% .. היקף ומיקום סופי יקבע בתכנית העיצוב\n-40   יחידות דיור מסך יחידות הדיור בתכנית יוקצו עבור דירות בהישג יד בשכירות מפוקחת לתקופה כוללת שלא תפחת מעשרים שנה מיום קבלת היתר האכלוס, בהתאם לתיקון120', 'מתמהיל הדירות אשר לא תחשב כסטייה ניכרת\n 4  .שטח ממוצע כולל לדירה יהיה כ80.( מ""ר )עיקרי+שרות\n 5.דיור בהישג יד\nא( 40  יחידות דיור מסך יחידות הדיור בתכנית יוקצו עבור דירות בהישג יד בשכירות מפוקחת\nלתקופה כוללת שלא תפחת מעשרים שנה מיום קבלת היתר האכלוס, בהתאם לתיקון 120 לחוק\nהתכנון והבניה. ב( שטחן הממוצע של יחידות הדיור בהישג יד יהיה תואם לשטח הממוצע של יחידות הדיור בכלל\nהפרויקט. ג( תמהיל גודל יחידות דיור בהישג יד ישקף את תמהיל יחידות הדיור בתכנית, למעט דירות מעל\nלכ 100   מ""ר. גודל יח""ד ממוצע )עיקרי + ממ""ד (. גודל יח""ד מקסימלית לא יעלה יגדל על100\n.מ""ר\nד( יחידות הדיור בהישג יד תמוקמנה, ככל הניתן, בבינוי המרקמי.\nה( יחידות הדיור בהישג יד יהיו בניהול ובבעלות אחודה.\nו(תמהיל ומיקומם הסופי של הדירות ייקבע במסגרת תכנית עיצוב אדריכלי.\nב', '\'מגורים ד 4.1\n המצוינים בטבלה5 ,, עבור תפעול, חדרי מכונות, מחסנים וכיוצא בזאת הדרושים להפעלתם\nשימוקמו בתת קרקע בהתאם למינימום הנדרש ובהיקף שייקבע במסגרת תכנית העיצוב.\nבינוי  \nא. מס\' יחידות דיור ותמהיל:\n 1  .מס\' יחידות הדיור בכל שטח התכנית לא יעלה על388. 2  .גודל יחידת דיור מינימלית לא יפחת מ45 ( מ""ר כולל )עיקרי+שרות\n    א( כ 15%   יחידות דיור קטנות מאד בשטח כולל עד50( מ""ר )עיקרי+שרות\n    ב( כ 30%   יחידות דיור קטנות בשטח כולל עד85( מ""ר )עיקרי+שרות\n    ג( כ 40%   יחידות דיור בינוניות בשטח כולל עד100( מ""ר )עיקרי+שרות\n    ד( כ 15%   יחידות דיור גדולות בשטח כולל שלא יפחת מ100( מ""ר )עיקרי+שרות\n 3. תותר סטייה של כ5%']","Based on the provided context from planning document 507-0368191, the key information regarding the number of housing units planned is:

מס' יחידות הדיור בכל שטח התכנית לא יעלה על 388.

This translates to:

The number of housing units in the entire plan area will not exceed 388.

Therefore, the concise answer to the question ""How many housing units are planned in the plan?"" is:

388 housing units are planned in this urban plan.",388,0.75
מה שטח התכנית בדונם?,"['שטח התכנית 2.010 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי1  -']","Based on the provided context from planning document 507-0396846, the answer to the question is:

שטח התכנית: 2.010 דונם

The plan area is explicitly stated as 2.010 dunams in the context.",2.010,0.5
?כמה יחידות דיור מתוכננות בתכנית,"['מטרת התכנית 2.1\n ניצול מיטבי של זכויות הבניה על ידי איחוד החלקות הקיימות למגרש אחד בשטח של2.010 דונם ושינוי הבינוי \nוהעיצוב האדריכלי, שינוי קווי הבניין והגדלת מספר היחידות מ-8- ל16. יח""ד', 'עיקרי הוראות התכנית 2.2\n א. איחוד מגרשים על פי סעיף62  א )א( ס""ק1. לחוק\nב. שינוי בקווי הבנין על פי סעיף 62  א)א( ס""ק4. לחוק\nג. שינוי הוראות תכנית ג\' 1  לעניין קוי נסיגה בקומת הגג משיקולים של עיצוב אדריכלי ושינוי הוראות בינוי \nלחצרות אנגליות על פי סעיף 62  א )א( ס""ק5. לחוק\nד. הגדלת מס\' יח""ד מ-8- ל16  יח""ד על פי סעיף62  א )א( ס""ק8. לחוק\nה. קביעת הנחיות לאפשרות העברת שטחים עד 15%   מקומה לקומה, על פי סעיף62  א )א( ס""ק9. לחוק\nו. תוספת שטחי שירות בהיקף של 30%   מהשטח המותר לבנייה ע""פ תכניתR6  לפי סעיף62 א )א1) (4.( לחוק', 'מ""ר ליח""ד\n)3 .( קוי הבנין המוגדרים בתכנית זו הינם המירביים )למעט לנושא גזוגטראות(. הקטנת קוי הבנין מעבר למצויין בתכנית זו תחשב סטייה ניכרת\nהערות לטבלת זכויות והוראות בניה – מצב מוצע:\n)1 \'( בנוסף לשטחים המותרים לפי תכנית ג1.\n)2\'( המותר עפ""י תכנית ע1.\n)3\'( המותר לפי תכנית ע1.\n)4-( צפיפות גדולה מ8. יח""ד לדונם תהווה סטיה ניכרת לתכנית\n)5 (2. קומות + חדרי יציאה לגג\n)6  ( פרט לפינה הלא רגולרית שבמפגש המגרשים, שם יהיה קו הבניין2.5. מ\' עפ""י נספח בינוי\n)7  = ( קו בניין קדמי לרחוב מנחם לילי5\' מ\nקו בניין קדמי לרחוב 2421 = 4. מ\' בהתאם לשאר החזיתות ברחוב\n)8 (12 - מ""ר בממוצע ליח""ד ובכל מקרה לא יותר מ14. מ""ר ליח""ד1  -']","Based on the provided context from planning document 507-0396846, the plan proposes to increase the number of housing units as follows:

- Current number of units: 8 יחידות דיור (housing units)
- Planned number of units: 16 יחידות דיור (housing units)

This increase is specifically mentioned in section 2.2.ד of the document, which states:
""הגדלת מס' יח""ד מ-8- ל16 יח""ד על פי סעיף62 א )א( ס""ק8. לחוק""

(Translation: Increasing the number of housing units from 8 to 16 units according to section 62a(a)(8) of the law)

Therefore, the plan intends to have 16 housing units in total.",16,0.875
מה שטח התכנית בדונם?,"['שטח התכנית 9.040 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטיב\'-מתחם אפר האוס - מב""צ עצמאי וניוד זכויות משימור2381 / -']","Based on the context provided from planning document 507-0753012, the answer to the question is:

שטח התכנית: 9.040 דונם

This information is explicitly stated in the first line of the provided context.",9.040,0.6666666666666666
?כמה יחידות דיור מתוכננות בתכנית,"['היחידות הנוספות יתחלקו בין2   מבני המגורים כשבכל קומה יתוכננו12 יח""ד דיור ובסך הכל \nיתווספו 48   יח""ד, כאשר בממוצע כל יח""ד תהיה בשטח כולל של עד70.( מ""ר )עיקרי+ממ""דאב\'-מתחם אפר האוס - מב""צ עצמאי וניוד זכויות משימור2381 / -']","Based on the provided context from planning document 507-0753012, the answer to the question ""כמה יחידות דיור מתוכננות בתכנית?"" (How many housing units are planned in the plan?) is:

48 יחידות דיור (48 housing units)

The context states:
""יתווספו 48 יח""ד"" 
Which translates to ""48 housing units will be added""

This number is derived from the plan to add 12 housing units per floor across 2 residential buildings, totaling 48 additional housing units.",752,0.625
מה שטח התכנית בדונם?,"['שטח התכנית 5.959 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מקום התכנית ממוקמת בגוש 7077  חלקה54  הנמצאת בין רחוב ישראל טל מדרום, חלקה \n53  ממערב, חלקה71  ממזרח )מגדל אלפא( ומצפון שטח פרטי פתוח\nמרחב תכנון ב- כולל את המבנים ברחוב אלנבי 82  , לילינבלום5  ויהודה הלוי8.']","על פי המידע המופיע בהקשר הנתון, שטח התכנית הוא 5.959 דונם.",5.959,1.0
?כמה יחידות דיור מתוכננות בתכנית,"['עירוני מעורב 4.1\n) בקומת הקרקע הפונה לכיוון רחוב ישראל טל1185 (, כמסומן בתשריט. גובה הקירוי לא יעלה על \n8  מטרים ברוטו. הקירוי והגובה הסופי יקבע בתכנית העיצוב ובהתאמה למבנים הקיימים \nוהמתוכננים במרחב יצחק שדה.\n3. מגורים\nא. שימוש המגורים ירוכז בקומות מלאות ברצף ויהיה מופרד משימוש התעסוקה.\nב.מספר יחידות דיור מקסימאליות  עד 121  מתוכן עד35. יחידות דיור בהישג יד\nג. חישוב זכויות כולל )עיקרי+שירות(  למגורים ולדיור בהישג יד:\nהשטח המותר בתכנית לשימוש מגורים יהיה עד 10665. מ""ר\nמתוך השטח הכולל המותר למגורים מעל הקרקע יוקצו  1746  מ""ר בעבור דיור בר השגה. בנוסף \nיוקצו עוד 15%. יחידות דיור מסך יחידות הדיור הנותרות יוקצו עבור דיור בר השגה\nד. שטח יחידת דיור ממוצע יהיה כ-68. מ""ר עיקרי\nה. שטחי הדירות יתוכננו בתמהיל שטחים מגוון הכולל לפחות לפחות 15% דירות קטנות מאד\n 45-65', 'מ""ר לשטחי תעסוקה ומסחר\nמתוך השטחים הסחירים הכוללים מעל הקרקע יותר עד 20%   בשימוש מגורים בהיקף של8532. מ""ר\nבהתאם להוראות תכנית המתאר, התכנית מניידת זכויות ממבנים לשימור באלנבי 82 , יהודה הלוי8 ולילינבלום \n5  , ברח""ק )רצפה חלק קרקע( העולה על הרח""ק )רצפה חלק קרקע( המירבי ומוסיפה5%  מהשטחים הסחירים \nהכוללים מעל הקרקע בשימוש מגורים בהיקף של 2,133  מ""ר. כך שסך כל זכויות הבניה העל קרקעיות במגרש \n100  :47,650  מ""ר - רח""ק13.4  )רצפה חלק קרקע(. מתוכם, השטח הכולל בשימוש מגורים המותר בתכנית הינו \nעד 10665. מ""ר\nפרוט השטחים המנויידים לפי מגרשים מובאים בנספח דברי הסבר לתכנית.\nחישוב  סך שטחי המגורים 10665 : מ""ר  אשר יחולקו באופן הבא\n8919. מ""ר עבור יחידות דיור מתוכן יוקצו גם דירות בהישג יד במסגרת המדיניות העירונית\n1746', 'מ""ר\nלפחות 25%  דירות קטנות66-85\n לפחות25%  דירות בינוניות86-100 מ""ר\nלפחות 15%  דירות גדולות100-120 מ""ר\nתותר גמישות של עד 10%  בתמהיל יחידות הדיור אשר יקבע במסגרת תכנית העיצוב ובאישור \nמהנדס העיר או מי מטעמו.\nתמהיל יתר יחידות הדיור יקבע בעת הכנת תוכנית העיצוב על ידי מהנדס העיר או מי מטעמו.\nתמהיל יחידות הדיור יחול גם על יחידות הדיור בהישג יד. למעט דירות גדולות ששטחן לא יעלה \nעל 100. מ""ר\nו. פתרון מיגון יינתן בהתאם להחלטת פיקוד העורף. ככל שיותקנו מרחב מוגן קומתי )ממ""ק( \nבמקום מרחב מוגן דירתי )ממ""ד( תותר המרת שטחי השירות העודפים לשטחים עיקריים \nבמסגרת השטחים הכוללים המותרים למגורים במגרש 100.\nז. יחידות הדיור יורחקו ממטרדים כגון כניסת כלי רכב, אשפה, או כל מטרד אחר שיכול להשפיע \nעל איכות חיי הדיירים.\n4 :. דירות בהישג יד שיוקצו להשכרה\nא. יחידות הדיור בהישג יד ישולבו כחלק מכלל שימוש המגורים.\nב']","Based on the provided context, the plan includes the following details regarding housing units:

1. Maximum number of housing units: 121 יחידות דיור (housing units)
2. Out of these, up to 35 units are designated as affordable housing (דיור בהישג יד)

Therefore, the total number of housing units planned in this project is 121.",121,1.0
מה שטח התכנית בדונם?,"['שטח התכנית 3.385 דונם\n1.4', 'נתונים כמותיים עיקריים בתכנית 2.3\n3.385 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\n112+7636יח""דמגורים )יח""ד(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות', ""מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי'19-21  'פרזון4363/ -""]","Based on the context provided from planning document 507-0264846, the area of the plan (שטח התכנית) is 3.385 dunams (דונם).

This information is stated consistently in two places in the given context:

1. At the beginning: ""שטח התכנית 3.385 דונם""
2. In the table under ""נתונים כמותיים עיקריים בתכנית"": ""3.385 שטח התכנית בדונם""",3.385,0.75
?כמה יחידות דיור מתוכננות בתכנית,"['בתחומה קיימות \nכיום 36   דירות והיא מאפשרת תוספת של עד76   יחידות דיור נוספות )סה""כ112.( יח""ד\nהתכנית הינה תכנית מפורטת הערוכה על-פי הוראות תמ""א 38/3  סעיף23.\nהוראות הבינוי בתכנית זו נועדו להבטיח את השתלבות המבנים החדשים לאורך רחוב שד\' החייל תוך \nהתייחסות לגן גונדה מצידו המערבי של המגרש.\nדף ההסבר מהווה רקע לתכנית ואינו חלק ממסמכיה הסטטוטוריים.\n \'19-21  \'פרזון4363/ -', 'נתונים כמותיים עיקריים בתכנית 2.3\n3.385 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\n112+7636יח""דמגורים )יח""ד(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות', 'טבלת זכויות והוראות בניה - מצב מוצע 5.\n \n יעודשימושתאי שטחגודל מגרש\n)מ""ר(שטחי בניה\n)מ""ר(תכסית\n)% מתא \nשטח(מספר \nיח""דצפיפות \nיח""ד \nלדונםגובה \nמבנה- \nמעל \nהכניסה \nהקובעת\n)מטר(מספר \nקומותקו בנין\n)מטר(\nמעל הכניסה הקובעתמתחת לכניסה \nהקובעת\nגודל מגרש \nכלליעיקרישרותעיקרישרות מעל \nהכניסה \nהקובעתצידי- ימניצידי- \nשמאליאחוריקדמי\nמגורים ד\'מגורים ד\'133858624.82504) 1()2()2(5011233) 3(338) 4(6) 5(3) 6(4) 7(5) 8(\n.האמור בטבלה זו גובר, במקרה של סתירה, על הוראות כלליות אחרות, בין בהוראות התכנית ובין בתשריט המצב המוצע\nגם בטבלה עצמה גוברת הוראה מפורטת על הוראה כללית\nשטחי הבניה המפורטים בטבלה שלעיל כוללים את כל שטחי הבניה המירביים בתכנית זו\nהערה ברמת הטבלה:\n1. בנוסף יותרו גזוזטראות בשטח ממוצע של12 - מ""ר לכל יח""ד ולא יותר מ14. מ""ר ליח""ד\nהערות לטבלת זכויות והוראות בניה – מצב מוצע:\n)1 ( כולל שטחי ממ\'\'דים12. מ\'\'ר לדירה\n)2( לפי ע1.\n)3 ( סה\'\'כ112']","Based on the context provided from planning document 507-0264846, the key details regarding housing units (יחידות דיור) are:

1. Current situation: 36 existing housing units
2. Planned addition: Up to 76 new housing units
3. Total planned: 112 housing units

This information is consistently mentioned in multiple places in the document:

- In the general description: ""סה""כ112.( יח""ד)""
- In the quantitative data table (section 2.3): ""112"" under ""סה""כ מוצע בתוכנית"" for housing units
- In the building rights table (section 5): ""112"" under ""מספר יח""ד"" for the residential zoning

Therefore, the concise answer to the question ""כמה יחידות דיור מתוכננות בתכנית?"" is:
112 יחידות דיור מתוכננות בתכנית.",112,0.4444444444444444
מה שטח התכנית בדונם?,"['שטח התכנית 0.171 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי נווה צדק26  -שמרלינג4879 / -']","Based on the context provided from planning document 507-0674267, the answer to the question is:

שטח התכנית: 0.171 דונם

This information is clearly stated in the first line of the given context.",0.171,0.75
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,"לא מצוין, לפי תוכנית מאושרת אחרת",0.0
